agent_name,metric_type,property,class,accuracy,precision,recall,f1_score,support,tp,fp,tn,fn
dspy_agent_critic_gemini_qwen7b,overall,all,all,0.69,0.63,0.45,0.48,110,53,26,128,57
dspy_agent_critic_gemini_qwen7b,macro_avg,rigidity,all,0.64,0.32,0.20,0.24,22,6,8,36,16
dspy_agent_critic_gemini_qwen7b,per_class,rigidity,+R,0.36,0.57,0.27,0.36,15,4,3,4,11
dspy_agent_critic_gemini_qwen7b,per_class,rigidity,-R,0.86,0.00,0.00,0.00,1,0,2,19,1
dspy_agent_critic_gemini_qwen7b,per_class,rigidity,~R,0.68,0.40,0.33,0.36,6,2,3,13,4
dspy_agent_critic_gemini_qwen7b,macro_avg,identity,all,0.77,0.71,0.68,0.68,22,15,3,19,7
dspy_agent_critic_gemini_qwen7b,per_class,identity,+I,0.68,0.93,0.68,0.79,19,13,1,2,6
dspy_agent_critic_gemini_qwen7b,per_class,identity,-I,0.86,0.50,0.67,0.57,3,2,2,17,1
dspy_agent_critic_gemini_qwen7b,macro_avg,own_identity,all,0.59,0.82,0.43,0.42,22,8,4,18,14
dspy_agent_critic_gemini_qwen7b,per_class,own_identity,+O,0.45,1.00,0.08,0.14,13,1,0,9,12
dspy_agent_critic_gemini_qwen7b,per_class,own_identity,-O,0.73,0.64,0.78,0.70,9,7,4,9,2
dspy_agent_critic_gemini_qwen7b,macro_avg,unity,all,0.82,0.80,0.59,0.66,22,15,5,39,7
dspy_agent_critic_gemini_qwen7b,per_class,unity,+U,0.77,0.79,0.85,0.81,13,11,3,6,2
dspy_agent_critic_gemini_qwen7b,per_class,unity,-U,0.73,0.60,0.43,0.50,7,3,2,13,4
dspy_agent_critic_gemini_qwen7b,per_class,unity,~U,0.95,1.00,0.50,0.67,2,1,0,20,1
dspy_agent_critic_gemini_qwen7b,macro_avg,dependence,all,0.57,0.49,0.34,0.40,22,9,6,16,13
dspy_agent_critic_gemini_qwen7b,per_class,dependence,+D,0.68,0.25,0.20,0.22,5,1,3,14,4
dspy_agent_critic_gemini_qwen7b,per_class,dependence,-D,0.45,0.73,0.47,0.57,17,8,3,2,9
