term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"The term ""Butterfly"" refers to a specific biological entity, which is a type of insect. Butterflies have essential characteristics that define them across all instances (e.g., specific morphological features and life cycle stages). They carry a clear identity condition, as each butterfly can be identified and distinguished from others. Butterflies also supply their own identity conditions, as they are defined by a unique set of characteristics. They are unifying entities, as each butterfly is a whole organism with intrinsic unity. Butterflies are independent entities, capable of existing autonomously without depending on other entities."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	~U	-D	Mixin	"""Red"" is an Anti-Rigid property because it is not essential to any of its instances; an object can be red and still be the same object if it changes color. It does not carry its own identity condition because the property of being red does not determine when two red instances are the same. It inherits identity from the objects it characterizes. ""Red"" does not supply its own identity condition, as it relies on the identity of the objects it describes. It is Anti-Unity because the instances of ""Red"" can be aggregates of multiple objects (e.g., a red car and a red house) without any intrinsic wholeness. Finally, ""Red"" is Independent because it can exist as a property without depending on any specific entity to instantiate it."	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	~U	-D	Mixin	Food is a general term that includes a wide variety of items that can be consumed for nutrition or enjoyment. It is not rigidly defined because different items can be considered food in different contexts. For example, what is considered food can vary between cultures and even over time. Food does not carry a unique identity condition because it is a broad category that includes many different types of items. It also does not supply its own identity condition, as the identity of food items is often derived from more specific categories (e.g., types of fruits, vegetables, meats). Food is not necessarily a unifying entity because it can be composed of various parts or be a collection of items. However, it is generally independent, as food items can exist autonomously without depending on another entity.	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" is a broad and fundamental category that applies to all members of the kingdom Animalia. It is a natural kind term and carries essential properties that are necessary for all its instances in all possible worlds, such as being multicellular, eukaryotic, and typically capable of locomotion. Therefore, it is classified as rigid. ""Animal"" also carries an identity condition because it specifies what makes an individual an animal, and it supplies its own unique identity condition. Animals are typically intrinsic wholes with unity criteria, making them unifying entities. They can exist independently without depending on other entities, so they are independent."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	+O	+U	-D	Sortal	"""RedApple"" is a compound term that can be broken down into two parts: ""Red"" and ""Apple"". ""Apple"" is a sortal term that carries and supplies its own identity condition, is rigid, and has intrinsic unity. ""Red"" is a non-rigid property that does not carry its own identity condition. When combined, ""RedApple"" refers to an apple that is red, but the redness is not essential to the apple's identity. Therefore, ""RedApple"" inherits the rigidity and identity conditions from ""Apple"" but is non-rigid with respect to the property ""Red""."	
Group	http://example.org/guarino-messy#Group	~R	-I	-O	~U	-D	Mixin	"A ""Group"" is a collection of entities that are brought together for a specific purpose or under a specific condition. It does not have a fixed, intrinsic identity that persists across all possible worlds, as its members can change without the group ceasing to exist. It does not supply its own identity condition, as the identity of the group is determined by the identity of its members. It is an aggregate without intrinsic unity, as the group does not form a single whole in the same way that an organism or a vehicle does. Furthermore, a group can exist independently of other entities, though it is often contextually dependent on the members comprising it."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"The term ""Country"" refers to a geopolitical entity with a defined territory, government, and population. It is a rigid term because it is essential to all its instances in all possible worlds that they are countries. Countries carry an identity condition based on their sovereignty, borders, and government, which means they have a unique identity. They supply their own identity condition, as the criteria for being a country (sovereignty, territory, government) are intrinsic to the concept. Countries can be considered unifying entities because they are wholes with internal unity, such as a central government and a defined territory. Finally, countries are independent entities, as they can exist autonomously without depending on other entities for their existence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	~U	-D	Phase	"""AmountOfMatter"" refers to a quantity of physical material, such as a specific amount of a substance or material. It does not have a rigid definition across all possible worlds, as the amount can vary and still be considered the same type of entity. It does not carry its own identity; different amounts of matter can be the same kind of matter. It does not supply its own identity condition, as the identity is often determined by the material itself, not the amount. It is not a unifying whole, as it can be a collection of parts without intrinsic unity. It is independent in that it can exist without depending on another entity for its existence."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	-R	+I	-O	-U	-D	Category	"The term ""PhysicalObject"" refers to a broad class of entities that share the characteristic of being physical and tangible. Its rigidity is -R because while it is a property that can be essential to some instances, it is not essential to all instances across all possible worlds. For example, a cloud is a physical object but is not essential to all instances of clouds in all possible worlds. It carries identity (+I) because it has a condition that can distinguish one physical object from another (e.g., based on spatial location, mass, shape). However, it does not supply its own identity condition (-O) because the identity condition can be inherited from more specific types of physical objects (e.g., a specific car or rock). The unity of PhysicalObject is -U because while some instances may be wholes (e.g., a tree), others may be aggregates (e.g., a pile of stones). PhysicalObject is independent (-D) because it can exist autonomously without depending on another entity."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	-I	-O	~U	-D	Mixin	"""GroupOfPeople"" can be analyzed as an aggregate or collection of individuals. It is not rigid because the group can change its composition (add or remove people) and still be the same group. It does not carry an identity condition of its own, as the identity of the group is derived from its members. It does not supply its own identity condition. The group lacks intrinsic unity because it is a collection of individuals, and it can exist independently of other entities."	
