term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	Butterfly is a natural kind representing a specific order of insects. It is essential to all its instances across all possible worlds - something cannot be a butterfly in one world and not in another, thus it is rigid (+R). As a biological kind, it carries and supplies its own identity condition based on biological and genetic criteria (+I, +O). Butterflies are intrinsic wholes with biological unity - they have integrated parts forming a complete organism (+U). They do not intrinsically depend on other entities to exist in the sense of being a substance in themselves, but their lifecycle does depend on specific environmental conditions and hosts (-D).	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a color property that can be attributed to various objects. It is not essential for any object to be red across all possible worlds; objects can change color or not have color at all, making ""Red"" non-rigid (-R). The property does not carry an inherent identity condition (+I) as it does not define what an object is but rather how it appears. It does not supply its own identity condition (-O) since being red is a qualitative property that does not distinguish one object from another based on its essence. ""Red"" does not unify anything into a whole; it is a property that can be attributed to parts or wholes alike (-U). The property of being red does not depend on anything else to exist; it is an independent attribute that can be applied or removed without affecting the existence of the object it describes (-D)."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Sortal	"""Food"" represents a category of consumable substances. Analyzing its meta-properties: It is non-rigid (-R) because something that is food in one context or culture may not be considered food in another. It carries identity (+I) as there are general criteria (nutritional, consumable, etc.) that distinguish food from non-food items. However, it does not supply its own identity condition (-O) since the identity of specific food items (like apples or bread) is given by their own kinds, not by the general category of food. Food items can be considered as intrinsic wholes (+U) when referring to specific types of food, but the category itself is somewhat abstract. Food does not intrinsically depend on other entities to exist in the sense that it does not require a specific other entity to be what it is (-D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"The term ""Animal"" refers to a broad category of living organisms characterized by their ability to move, feed, and respond to stimuli. Analyzing its meta-properties, we find that being an animal is essential to all instances across all possible worlds, as something cannot be an animal in one context and not in another. This suggests rigidity. Animals also carry an identity condition based on biological and genetic characteristics, and this identity is intrinsic to what it means to be an animal. Considering unity, animals are generally considered to be unified wholes with integrated parts forming a complete organism. Lastly, animals do not depend on other entities to exist in the same way that, for example, a role or a phase might, as they are substances in themselves."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	"The term ""RedApple"" represents a specific type of apple characterized by its red color. Analyzing its ontological meta-properties, we find that being a RedApple is not essential to all instances of apples, as an apple can change color or not be red and still be an apple. This suggests that RedApple is non-rigid. It carries an identity condition inherited from the broader category of apples but does not supply its own unique identity condition beyond the color attribute. RedApples are unified wholes with physical boundaries. They do not depend on other entities to exist beyond the normal dependencies of physical objects."	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	~U	+D	Mixin	"A ""Group"" can refer to a collection of entities that share certain characteristics or are related in some way. Analyzing its meta-properties: It is non-rigid (-R) because being a group is not essential to the individual members - they can exist independently of the group. The property does not carry a clear identity condition (-I) as groups can be highly variable and context-dependent. It does not supply its own identity condition (-O) since the identity of a group often depends on the nature of its members or the context in which it is considered. Groups can exhibit either unity or lack thereof, depending on their nature (e.g., a sports team vs. a random assembly of people), but generally, they are not intrinsic wholes in the same sense as natural kinds (~U). A group depends on its members to exist (+D), as without members, there is no group."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"The term ""Country"" refers to a geopolitical entity with defined boundaries, sovereignty, and a unified government. Analyzing its ontological meta-properties: A country is essentially a country across all possible worlds where it exists (+R), as its identity as a sovereign state does not change. It carries an identity condition (+I) since being a country implies a set of characteristics that differentiate it from other entities. Furthermore, it supplies its own identity condition (+O) based on its sovereignty, territorial boundaries, and governance structure. A country is considered an intrinsic whole (+U) as it encompasses a defined territory and population under a single governance. Lastly, a country's existence does not intrinsically depend on other entities (-D), as it is defined by its sovereignty and independence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	~R	-I	-O	-U	+D	Property	"""AmountOfMatter"" refers to a quantity or measure of material substance. Analyzing its meta-properties: It is anti-rigid (~R) because the amount of matter can change without the entity (the matter itself) ceasing to exist - matter can be added or removed, changing the amount but not the essence of being matter. It does not carry identity (-I) as the amount of matter does not provide a condition for identifying specific instances of matter over time. It does not supply its own identity condition (-O) since the identity of matter is based on its inherent properties, not the quantity. The unity of amount of matter is non-unifying (-U) because it represents a quantity that can be divided or aggregated without affecting the intrinsic nature of the matter itself. Amount of matter is dependent (+D) on the existence of matter, as it is a property or attribute of matter, not a standalone entity."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	-O	+U	-D	Sortal	"""PhysicalObject"" represents entities with physical presence and spatial boundedness. Analyzing its meta-properties: It is rigid (+R) because being a physical object is essential to all instances of physical objects across all possible worlds - something cannot be a physical object in one world and not in another. It carries identity (+I) as physical objects have identity conditions based on spatiotemporal continuity and material constitution. However, it does not supply its own specific identity condition beyond general physical existence (-O), as specific identities within this category (e.g., chair, car) are determined by more specific properties. Physical objects typically form intrinsic wholes with defined physical boundaries (+U). They do not intrinsically depend on other entities to exist in the sense of their physical presence (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Collective	"""GroupOfPeople"" is a collective entity representing multiple individuals. Analyzing its meta-properties: It is non-rigid (-R) because the membership of a group of people can change over time without the group ceasing to exist as a group - people can join or leave. It does not carry a strong identity condition (-I) as the identity of the group is not fixed and can vary based on its members or purpose. Consequently, it does not supply its own identity condition (-O). A group of people does not form an intrinsic whole in the same way a single person does; it is more about the collection or aggregation of individuals (~U). A group of people is dependent on the existence of its members (+D); without people, there cannot be a group."	
