term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" is a sortal-based concept that combines the sortal ""Insect"" with the contingent property of having wings and a specific body structure. The essential characteristics of being a butterfly (e.g., wings, body structure, metamorphosis) are what define it, making it rigid (+R). As a sortal, it carries identity conditions inherited from ""Insect"" (+I), but does not supply its own identity condition beyond what ""Insect"" provides (-O). Butterflies are intrinsic wholes with clear boundaries (+U), and they can exist independently without intrinsic dependence on other entities (-D)."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Quality/Attribute	"""Red"" is a color attribute that is not essential to the existence of an object, as an object can be red or not red without ceasing to be the same object. It does not carry identity criteria, as it does not provide principles for tracking individual instances (+I). ""Red"" does not supply its own identity condition, inheriting its identity from other properties (-O). As a color, it is not an intrinsic whole, but rather a property that can be applied to various objects (-U). Red is not dependent on other entities to exist, as it can be a property of objects regardless of their composition or context (-D). Therefore, ""Red"" is classified as a Quality/Attribute."	
Food	http://example.org/guarino-messy#Food	~R	-I	-O	-U	-D	Mixin	"""Food"" is a general concept referring to substances that serve as a source of nutrition or energy for living beings. It does not carry essential identity conditions, as different substances can serve as food for different organisms, and the same substance can be food for one organism but not another (+I). ""Food"" does not supply its own identity condition, as it is a functional concept that inherits its identity from more specific concepts like ""Apple"" or ""Meat"" (-O). Food is not an intrinsic whole, as it can be composed of various substances and can be consumed in different forms (-U). Food is not inherently dependent on other entities, as it can exist independently as a substance (-D). As a general concept, ""Food"" is classified as a Mixin, which is a property that is sometimes essential, sometimes not."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a sortal that categorizes entities based on their biological characteristics, such as the ability to move, feed, reproduce, and respond to stimuli. This fundamental category is essential to its instances, making it rigid (+R). Animals carry identity conditions based on their biological organization and continuity (+I). However, ""Animal"" does not supply its own identity condition, inheriting it from the more general category of ""LivingBeing"" (-O). Animals are intrinsic wholes with clear boundaries (+U), and they can exist independently without intrinsic dependence on other specific entities (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a phase-like property combining the sortal ""Apple"" with the contingent property ""Red"". An apple can be red at one time and not red at another (e.g., a green apple that ripens to red, or a red apple that rots and changes color). The redness is not essential to being that particular apple - the same individual apple can exist while being green or red. This makes it anti-rigid (~R). As a sortal-based concept, it carries identity inherited from ""Apple"" (+I), but does not supply its own identity condition beyond what ""Apple"" provides (-O). Apples are intrinsic wholes with clear boundaries (+U), and they can exist independently without intrinsic dependence on other entities (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	+U	+D	Collective	"The term ""Group"" refers to a collection of individuals united by a common bond, purpose, or interest. This concept is often used in various contexts, such as social, organizational, or sports groups. As a collectivized concept, ""Group"" is not rigid in the sense that it can encompass a wide range of entities, from individuals to organizations, and can be reconfigured or dissolved over time. However, it still carries identity conditions, as groups have a shared identity that distinguishes them from other entities (+I). The concept of ""Group"" does not supply its own identity condition, as it relies on the identity of its constituent members (-O). Groups are not unified wholes, but rather collections of individuals or entities that can be disjoint or overlapping (+U). Furthermore, groups can exist independently, as they do not require the presence of other entities to be what they are (-D)."	
Country	http://example.org/guarino-messy#Country	~R	+I	-O	+U	-D	Sortal (Natural Kind)	"""Country"" refers to a geographical entity with defined borders, a distinct identity, and a specific set of characteristics. It is a sortal-based concept, inheriting identity from the more general concept of ""Entity"" or ""Thing"" (+I). However, ""Country"" does not supply its own identity condition, as its identity is defined by external factors such as borders, government, and population (-O). Countries are not rigid entities, as they can change over time through processes like annexation, dissolution, or name changes (~R). They are, however, unified wholes with clear boundaries and a distinct identity (+U). Countries can exist independently, without intrinsic dependence on other entities (-D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	+R	+I	+O	+U	-D	Mixin	"""AmountOfMatter"" refers to a quantity of matter, which is a fundamental physical concept. It is not essential to the existence of matter itself, as matter can exist in various forms and quantities without being quantified (+R). However, it is a necessary condition for certain properties and relations, such as mass and weight, making it +I (carries identity). As a measure of quantity, ""AmountOfMatter"" supplies its own identity condition based on the physical properties of matter (+O). Matter is an intrinsic whole, with clear boundaries and a definite quantity (+U). It can exist independently without intrinsic dependence on other entities (-D). As a measure of quantity, it is not a role or a mixin, but rather a fundamental property of physical entities."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	~R	+I	-O	+U	-D	Mixin	"""PhysicalObject"" is a fundamental category that encompasses all entities with physical existence, regardless of their specific properties or characteristics. This category is not rigid, as different physical objects can have varying properties and still be considered the same object (e.g., a car and a toy car are both physical objects). Physical objects carry identity conditions, as they have clear criteria for individuation and persistence (+I). However, ""PhysicalObject"" does not supply its own identity condition, as it inherits identity from the more specific categories of ""Object"" or ""Entity"" (-O). Physical objects are intrinsic wholes with clear boundaries (+U), and they can exist independently without intrinsic dependence on other entities (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~U	-I	-O	-U	+D	Collective	"""GroupOfPeople"" refers to a collection of individuals who share a common identity, often united by a common goal, interest, or membership in a social structure. This concept is fundamentally a social and relational one, rather than an intrinsic property of individuals. As such, it does not carry essential identity conditions (+I), but rather inherits identity from the individuals that comprise it (-I). GroupOfPeople does not supply its own identity condition, as it is a collection of entities (-O). The group as a whole is not a unified whole, but rather a collection of individuals with varying characteristics and relationships (-U). GroupOfPeople can exist independently without intrinsic dependence on other entities, as it can persist even if some members leave or join (-D). This makes it a Collective."	
