term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	-O	+U	-D	Sortal	"The term ""Butterfly"" refers to a specific biological entity, characterized by its distinct physical and behavioral traits. As a natural kind, being a butterfly is essential to the individuals that belong to this category, meaning that if something is a butterfly, it is necessarily a butterfly in all possible worlds. This essentiality suggests rigidity. Furthermore, the property of being a butterfly carries an identity condition, as it defines what it means to be a member of this species. However, the identity condition is not unique to ""Butterfly"" but rather is inherited from its biological classification. Each butterfly is a unified whole, with its parts functioning together to form a single organism. Lastly, butterflies do not depend on other entities for their existence, although they do interact with their environment."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	-D	Mixin	"""Red"" is a color property that can be attributed to various objects. It is not essential for any object to be red in all possible worlds, as objects can change color or not have color at all. Thus, it is non-rigid. The property of being red does not carry an identity condition, as redness does not define what an object is but rather how it appears. It does not supply its own identity condition, as identity is determined by the object itself, not its color. Red as a property does not unify objects into wholes; rather, it is a quality that can be attributed to various parts or aspects of objects. Finally, the property of being red does not depend on any specific object or entity to exist, as it can be conceived independently."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	-D	Mixin	"""Food"" is a category of substances consumed for nutritional purposes. It doesn't inherently refer to a specific kind of thing but rather a functional or utilitarian classification. Something can be food in one context but not in another, depending on cultural, biological, or personal perspectives. This suggests non-rigidity. The concept of food carries an identity condition based on its purpose or function, but it does not supply its own unique identity condition independent of the things that are considered food. Food items are not necessarily intrinsic wholes, as the category can include diverse substances and preparations. Moreover, being food does not inherently depend on something else for its existence, though the production and consumption of food may involve dependencies."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	+D	Sortal	"""Animal"" is a broad biological category that encompasses a wide range of living organisms. It is a sortal, meaning it carries an identity condition for its instances (individual animals), allowing us to track and identify them over time. The property of being an animal is essential to the individuals that instantiate it, making it rigid (+R). Since it supplies its own identity condition based on biological and genetic criteria, it also carries its own identity (+O). Animals are intrinsic wholes, making the property unifying (+U). However, animals do not exist independently of their environments and often depend on other organisms or conditions for survival, suggesting a level of dependence (+D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"The term ""RedApple"" combines a sortal (Apple) with a quality (Red), suggesting it's a phase or a non-rigid property since an apple can change color over time. However, the essence of being an apple (the sortal) remains, indicating that ""RedApple"" carries an identity condition inherited from ""Apple"". It does not supply its own identity condition because being red is not essential to being an apple. RedApples maintain unity as they are wholes (apples with a specific color), and they do not depend on other entities to exist as apples, though their red color might depend on various factors."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	~U	+D	Collective	"The term ""Group"" refers to a collection of entities, which could be objects, people, or other items. This concept does not imply a rigid designation because the composition of a group can change over time or vary across different possible worlds. For example, a group of friends can change as new friends are added or old ones leave. A group does provide some form of identity condition, in that it can be identified as a collective entity, but this does not necessarily supply its own unique identity condition independent of its members. Groups are often non-unifying in the sense that they are aggregates of separate entities rather than intrinsic wholes. Moreover, a group's existence depends on the existence of its members, implying dependence."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	"A ""Country"" refers to a geopolitical entity with defined borders, governance, and international recognition. The concept of a country carries essential properties such as having a defined territory and a system of government, which are necessary for it to be considered a country in any possible world. This suggests rigidity (+R). Countries also carry their own identity conditions based on historical, geographical, and political criteria (+I and +O), as being a specific country (e.g., France) is determined by unique factors such as its history, borders, and governance structure. Each country is a unified whole with its own administration and legal system (+U). However, countries are not independent in a global context; they are part of the international community and often depend on other countries for various aspects like trade, security, and diplomacy (+D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	+U	+D	Property (Quantity)	"""AmountOfMatter"" refers to a quality or quantity of material substance. It does not denote a specific, individual entity but rather a measurable property of entities. This property is not essential to any particular individual (an object can change its amount of matter over time), suggesting non-rigidity. It does not supply its own identity condition since the identity of an amount of matter is determined by the entity it belongs to or its specific measurement, not by being an amount of matter itself. Amounts of matter can be considered as intrinsic wholes in the sense that they are unified quantities, but they are dependent on the entities they constitute or are part of."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	-U	-D	Sortal (Category)	"""PhysicalObject"" is a very general term encompassing all objects with physical existence. This category is essential to the nature of its instances - something is either a physical object or it is not, across all possible worlds where it exists. Thus, it exhibits rigidity (+R). As a high-level sortal, it carries an identity condition (+I) that is fundamental, allowing us to distinguish one physical object from another. Given its broad applicability and fundamental nature, PhysicalObject supplies its own identity condition (+O). The unity of physical objects can vary; they can be either intrinsic wholes or collections of parts, so it doesn't uniformly exhibit unity (-U). Lastly, physical objects can exist independently (-D) without intrinsic dependence on other entities for their existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	+I	-O	-U	+D	Collective	"""GroupOfPeople"" refers to a collection or aggregate of individual persons. The existence of a group of people does not depend on any essential property that defines the group as a whole in all possible worlds; rather, it is contingent upon the presence of its members. Thus, it is non-rigid. A group of people does not carry an inherent identity condition since the identity of the group can change as members join or leave, yet for practical purposes, it can be considered to carry some form of identity based on its constituent members (+I). However, it does not supply its own identity condition independent of its members (-O). The unity of a group of people is not intrinsic; they can be considered a collection or aggregate rather than a unified whole (-U). A group of people is dependent on its constituent members for its existence (+D)."	
