term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Butterfly"" refers to a biological kind - a specific life stage (adult form) of certain insects in the order Lepidoptera. As a natural kind, it carries essential properties: something is a butterfly in all possible worlds where it exists as such. It provides its own identity condition based on biological criteria (species membership, developmental stage). Instances are intrinsic wholes (complete organisms with functional unity). Butterflies are independent entities that don't intrinsically depend on other individuals to exist, though they have biological dependencies on their environment."	
Red	http://example.org/guarino-messy#Red	~R	-I	-O	-U	-D	Quality	"""Red"" is a quality that can be attributed to various entities. It is not essential to any particular instance, as an entity can change color while remaining the same entity. Therefore, it is Anti-Rigid (~R). The property ""Red"" does not carry its own identity condition and does not supply its own identity, as it is a quality that can be shared by different entities. It does not unify entities, so it is Non-Unifying (-U). It is independent (-D) in the sense that being red does not require the entity to depend on another entity to exist."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Category	"""Food"" is a term that refers to any substance consumed to provide nutritional support for an organism. The property of being food is non-rigid because something can be food in one context but not in another (e.g., a plant can be food for one organism but not for another). Food inherits its identity condition from the specific items that constitute it (e.g., fruits, vegetables, meats), but it does not supply its own unique identity condition. Food items are typically considered unifying wholes (e.g., a piece of fruit). Food is generally independent, as the items that are food can exist without being consumed or categorized as food."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" is a term that refers to a broad biological category encompassing a large group of multicellular, eukaryotic organisms. Being an animal is an essential property, meaning that something that is an animal in one possible world will be an animal in all possible worlds. Animals have their own identity conditions based on biological criteria, such as species membership and genetic makeup. They are intrinsic wholes, with each individual animal being a unified organism. Animals are also independent entities, capable of existing without depending on other specific entities for their existence, though they may have ecological dependencies."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" is a term that combines a sortal (Apple) with a quality (Red). An apple can be red at one time and change color (e.g., to green or yellow) while still being the same apple. This indicates that being red is not an essential property for an apple in all possible worlds, making ""RedApple"" Anti-Rigid (~R). However, ""RedApple"" does carry an identity condition inherited from the sortal ""Apple"" (+I), but it does not supply its own unique identity condition (-O). Apples are intrinsic wholes, maintaining unity (+U). Red apples are independent entities and do not intrinsically depend on other entities for their existence (-D)."	
Group	http://example.org/guarino-messy#Group	-R	+I	-O	~U	-D	Mixin	"""Group"" refers to a collection of entities that are aggregated together. The property of being a group is not essential to the entities within it, and entities can be part of different groups or no group at all. This suggests non-rigidity (-R). The identity of a group is derived from its members and their relationships, but the group itself does not supply a unique identity condition (+I, -O). Groups are typically sums or aggregates of their members, rather than intrinsic wholes (~U). Groups can exist independently of other entities (-D), though their existence is often context-dependent."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal (Geopolitical Entity)	"""Country"" is a sortal term that refers to a geopolitical entity with specific boundaries, a government, and a population. It is rigid (+R) because the essential properties that define a country (such as its political and territorial boundaries) are necessary for it to be considered a country in all possible worlds. Countries have their own identity conditions based on these essential properties (+I) and supply their own identity conditions (+O). They are unifying wholes (+U) as they are coherent entities with a defined territory and government. Countries are independent entities (-D) as they can exist without depending on other specific entities for their existence."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	-U	-D	Mixin	"""AmountOfMatter"" refers to a quantity or measure of a substance or material. This property is not rigid (+R) because the amount of matter can vary across different contexts and possible worlds. It carries identity criteria inherited from the specific matter it quantifies (+I), but it does not supply its own unique identity condition (-O). The property is typically not a unified whole (-U) because it can be divided into smaller amounts. It is independent (-D) in that the amount of matter does not intrinsically depend on other entities for its existence."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" is a broad category that includes all entities that occupy space and can be perceived by the senses. It is a rigid property because being a physical object is an essential characteristic in all possible worlds. It has a clear identity condition based on the physical properties and spatial occupancy of the object, and it supplies its own identity condition. Physical objects are intrinsic wholes and do not depend on other entities for their existence."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Mixin	"""GroupOfPeople"" refers to a collection of individuals who are associated in some way, but not necessarily as a unified whole with a distinct identity. The property of being a group of people is not essential to the individuals involved; one can be part of a group in one context and not in another, making it non-rigid (-R). The group itself does not carry a unique identity condition of its own (-I), as the identity is derived from the individuals within it (-O). The group is typically a sum or aggregate of individuals (~U), not a unified whole. The group is dependent on the individuals to exist (+D), as the group cannot exist without its members."	
