term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal (Natural Kind)	""" Butterfly "" refers to a type of insect characterized by its specific biological and morphological properties. Rigidity: Being a butterfly is an essential property of a butterfly - a butterfly cannot cease to be a butterfly and remain the same entity, making it +R (Rigid). Identity: Butterflies have clear criteria for identity and persistence across time and possible worlds, such as their genetic and biological makeup (+I). Own Identity: ""Butterfly"" supplies its own identity condition based on its unique biological characteristics (+O). Unity: Butterflies are intrinsic wholes with functional integration of their parts, making them +U (Unifying). Dependence: Butterflies can exist independently as self-sufficient organisms without intrinsically depending on other specific entities (-D)."	
Red	http://example.org/guarino-messy#Red	-R	-I	-O	-U	+D	Quality	"""Red"" is a quality or attribute that can be instantiated by various entities. It is a property of surfaces or substances that reflect light at certain wavelengths, and it is not essential to the entities that possess it. For example, a red apple can become green without ceasing to be the same apple. Therefore, ""Red"" is non-rigid (-R). As a quality, ""Red"" does not carry identity criteria on its own (-I) and does not supply its own identity condition (-O). It can apply to both unified wholes (e.g., a red ball) and collections of parts (e.g., a red paint scattered on different surfaces), so it lacks intrinsic unity (-U). ""Red"" is dependent on the entities that instantiate it (+D), as it cannot exist without a surface or substance to which it applies."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	-U	+D	Mixin	"""Food"" refers to any substance that is consumed to provide nutritional support for an organism. It is a broad and context-dependent category. Rigidity: Being food is not essential to the substance's existence; something can be food in one context and not in another (e.g., a plant can be food for a herbivore but not for a human). Thus, it is non-rigid (-R). Identity: Food items carry identity, as they can be tracked and identified based on their physical and chemical properties (+I). Own Identity: ""Food"" does not supply its own unique identity condition; it inherits identity from the substance it is made of (-O). Unity: Food can be a single, integrated item (e.g., an apple) or a collection of items (e.g., a meal), but it does not necessarily form a single, cohesive whole (-U). Dependence: Food is often dependent on the context of consumption and the organism for which it is food, making it dependent (+D)."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Animal"" refers to any organism belonging to the kingdom Animalia, characterized by multicellularity, the ability to move independently, and the capacity for complex behaviors. Rigidity: Being an animal is an essential property for organisms of this kingdom; if an entity is an animal, it cannot cease to be one while remaining the same entity (+R). Identity: Animals have clear criteria for individuation and persistence across time and possible worlds, based on biological and developmental continuity (+I). Own Identity: ""Animal"" supplies its own identity condition based on the fundamental biological characteristics that define the kingdom Animalia (+O). Unity: Animals are integrated wholes with functional and structural cohesion (+U). Dependence: Animals can exist independently without intrinsic dependence on other specific entities (-D)."	
RedApple	http://example.org/guarino-messy#RedApple	~R	+I	-O	+U	-D	Phase	"""RedApple"" combines the sortal ""Apple"" with the contingent property ""Red"". An apple can change color from green to red or vice versa over time, indicating that redness is not essential to the apple itself. Therefore, it is anti-rigid (~R). The identity of a red apple is inherited from the sortal ""Apple"" (+I), but the redness itself does not provide additional identity criteria (-O). Apples are cohesive wholes with clear boundaries (+U), and they can exist independently without being dependent on other specific entities (-D)."	
Group	http://example.org/guarino-messy#Group	~R	+I	-O	~U	+D	Collective	"""Group"" refers to a collection of entities that are brought together for a specific purpose or context. The property of being a group is not essential to the individual members; they can be part of different groups or no group at all, making it anti-rigid (~R). Groups carry identity in the sense that they can be identified and re-identified over time (+I), but they do not supply their own identity conditions (-O) as the identity is derived from the individuals and the context. Groups are typically not intrinsic wholes but rather collections of individuals, making them anti-unity (~U). Groups intrinsically depend on the individuals that constitute them (+D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	+D	Sortal	"""Country"" refers to a political and geographical entity that has a defined territory, government, and population. The concept of a country is relatively rigid (+R) because a country's fundamental nature as a sovereign state is essential to its identity. If a country ceases to be a country (e.g., through annexation or dissolution), it no longer exists as the same entity. Countries carry their own identity conditions based on their political and territorial boundaries (+I) and supply their own identity criteria, rooted in sovereignty and governance (+O). Countries are unifying entities, as they are bounded and cohesive political units (+U). However, countries are dependent on their population, government, and territory to exist, making them dependent entities (+D)."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	-I	-O	-U	+D	Quality	"""AmountOfMatter"" refers to a quantified measure of the mass or material substance of an entity. This property is not essential to the identity of the entity it measures; an entity can gain or lose matter and still remain the same entity. Therefore, it is non-rigid (-R). It does not carry identity criteria on its own, as it depends on the entity it measures, which can vary over time (-I). It does not supply its own identity condition; it inherits identity from the entity it describes (-O). The concept of ""AmountOfMatter"" does not form a unified whole in itself but is a property of a larger entity (-U). It is dependent on the existence of the entity whose matter it measures (+D)."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" refers to any entity that occupies space and is perceptible by the senses, such as through touch or sight. Rigidity: Being a physical object is an essential characteristic of any entity that is a physical object; it cannot cease to be a physical object and still exist as the same entity (+R). Identity: Physical objects have clear criteria for individuation and persistence over time, such as spatial and temporal continuity (+I). Own Identity: ""PhysicalObject"" supplies its own identity condition based on its spatial and temporal characteristics (+O). Unity: Physical objects are typically cohesive wholes with intrinsic unity, such as a rock or a chair (+U). Dependence: Physical objects can exist independently and do not necessarily depend on other specific entities for their existence (-D)."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	~R	+I	-O	~U	+D	Collective	"""GroupOfPeople"" refers to a collection of individuals who are gathered or associated in some way. The group itself is not defined by any intrinsic, essential property but by the transient association of its members, which can change over time. This makes it anti-rigid (~R) because the property of being a group of people is not essential and can change (people can join or leave the group). The group carries identity because it can be identified as a specific collection of people at a given time (+I), but it does not supply its own identity condition (-O); the identity is derived from the individuals within the group. The group is an aggregate rather than a unified whole (~U), as its members can come and go without losing its status as a group. The group is dependent on the people who constitute it (+D), as it cannot exist without its members."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""LivingBeing"" refers to any organism that displays the essential characteristics of life such as metabolism, growth, reproduction, and response to stimuli. 

- **Rigidity**: Being a living being is an essential property. An organism that ceases to be a living being ceases to exist in that form, making ""LivingBeing"" +R (Rigid).
- **Identity**: Living beings have clear criteria for identity and persistence over time, based on their biological continuity and organization, which makes it +I (carries identity).
- **Own Identity**: ""LivingBeing"" supplies its own identity conditions, grounded in the biological processes and organizational structure that define life (+O).
- **Unity**: Living beings are unified wholes with intrinsic cohesion and functional integration of their parts, making them +U (Unifying).
- **Dependence**: Living beings can exist independently without being intrinsically dependent on other specific entities, making them -D (Independent)."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	~U	+D	Collective/Role	"""SocialEntity"" refers to an entity that exists in a social context and is defined by its social roles and relationships. This can include organizations, institutions, and social groups. Rigidity: A social entity's social nature is not essential to its existence; it can change roles or lose social attributes while still remaining the same entity (-R). Identity: Social entities have criteria for identifying them across time and possible worlds, often based on their social functions and memberships (+I). Own Identity: Social entities typically inherit their identity from the individuals and structures that compose them rather than supplying their own unique identity (-O). Unity: Social entities can be cohesive wholes, but they can also be collections of individuals or sub-entities, often lacking intrinsic unity (~U). Dependence: Social entities are often dependent on the individuals and social structures that constitute them, making them +D."	
Location	http://example.org/guarino-messy#Location	-R	-I	-O	-U	+D	Attribute	"""Location"" refers to a place or position in space. Rigidity: A location is non-rigid (-R) because an entity can change its location without ceasing to be that entity (e.g., an object can move from one location to another while remaining the same object). Identity: Location does not carry identity criteria of its own (-I) because it does not provide a means to track and identify individual instances across time and possible worlds. Own Identity: Location does not supply its own identity criteria (-O) but rather inherits identity from the entities it describes. Unity: Locations can be seen as either unified (a specific point or bounded area) or as arbitrary collections of points, depending on the context (-U). Dependence: Locations are dependent on the entities that occupy them (+D) because they are defined relative to those entities and the space they inhabit."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Fruit"" is a biological category that includes various plant parts that develop from the ovary after flowering and often contain seeds. Rigidity: Being a fruit is essential to the entities that fall under this category - if a plant part is a fruit, it cannot cease to be a fruit and remain the same entity (+R). Identity: Fruits have clear identity conditions based on their biological and developmental characteristics, allowing them to be tracked across time and possible worlds (+I). Own Identity: ""Fruit"" supplies its own identity condition, grounded in its biological and developmental processes (+O). Unity: Fruits are intrinsic wholes with integrated parts that function cohesively (+U). Dependence: Fruits can exist independently as part of the plant without intrinsic dependence on other specific entities (-D)."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal (Natural Kind)	"""Vertebrate"" refers to a class of animals characterized by the presence of a backbone or spinal column. Rigidity: Being a vertebrate is an essential property for any vertebrate organism; they cannot lose this property and remain the same entity. This makes it +R (Rigid). Identity: Vertebrates carry identity conditions based on their biological and structural continuity (+I). Own Identity: ""Vertebrate"" supplies its own identity condition, grounded in the presence of a backbone and the associated biological organization (+O). Unity: Vertebrates are intrinsic wholes with functional integration of their parts, making them +U (Unifying). Dependence: Vertebrates can exist independently without intrinsic dependence on other specific entities (-D)."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	~R	+I	-O	+U	-D	Phase	"""Caterpillar"" refers to the larval stage of butterflies and moths. This is a phase or role that the organism undergoes during its life cycle. Rigidity: Being a caterpillar is not an essential property of the organism; it can transition to a different form (pupa, adult) and still be the same individual, making it anti-rigid (~R). Identity: Caterpillars carry identity conditions inherited from the broader sortal ""Insect"" (+I). Own Identity: The identity of a caterpillar is not supplied by the term itself but is inherited from the sortal ""Insect"" (-O). Unity: Caterpillars are cohesive, integrated wholes with clear boundaries (+U). Dependence: A caterpillar can exist independently without intrinsic dependence on other specific entities (-D)."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	"""Person"" is a fundamental ontological category that refers to an individual human. It is a rigid property because being a person is an essential characteristic of a human; a person cannot cease to be a person and still remain the same individual. Persons have clear identity criteria, such as a continuous psychological and biological identity (+I) and supply their own identity conditions (+O). Persons are unified wholes with intrinsic unity (+U) and can exist independently of other entities (-D)."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	+I	-O	+U	+D	Role	"""LegalAgent"" is a role that an entity (such as a person or organization) takes on within a legal or institutional context. The role of being a legal agent is not essential to the entity's existence; an entity can exist and cease to be a legal agent without losing its identity, making it anti-rigid (~R). However, the role does carry identity criteria in the sense that it can be tracked and referred to as a specific role filled by a particular entity (+I). The identity criteria are not unique to the role itself but are inherited from the underlying entity (-O). Legal agents are typically bounded and cohesive in their role, forming a unified whole in the context of their legal functions (+U). However, the role is dependent on the entity filling it and the legal system in which it operates (+D)."	
Entity	http://example.org/guarino-messy#Entity	+R	+I	-O	-U	-D	Non-Classifiable (too broad for specific classification)	"""Entity"" is a very broad and fundamental category that encompasses any and all things that can be considered to exist. It is the most general term for anything that has being. Rigidity: Being an entity is a fundamental characteristic of its instances - something cannot cease to be an entity and still exist, making it +R (Rigid). Identity: Entities carry identity by definition, as they must have criteria for individuation and persistence through time and across possible worlds (+I). Own Identity: ""Entity"" itself does not supply a specific identity condition but is rather the most general category that other more specific entities inherit from (-O). Unity: The concept of ""Entity"" is so broad that it does not specify whether its instances must be unified wholes or can be collections, so it is -U (Non-Unifying). Dependence: Entities can exist independently without intrinsically depending on other specific entities (-D)."	
Organization	http://example.org/guarino-messy#Organization	-R	+I	-O	+U	+D	Role	"""Organization"" refers to a structured group of individuals working together for a common purpose. The rigidity of ""Organization"" is non-rigid (-R) because an organization can exist and maintain its identity even if it changes its structure, members, or purpose. It carries identity (+I) because there are criteria to identify and track an organization over time, such as its name, legal status, and membership. However, it does not supply its own unique identity condition (+O) but inherits it from the individuals and structures that constitute it. Organizations are unifying (+U) because they form cohesive wholes with integrated functions and roles. They are dependent (+D) on the individuals and resources that constitute them."	
