term	uri	rigidity	identity	own_identity	unity	dependence	classification	reasoning	error
Butterfly	http://example.org/guarino-messy#Butterfly	+R	+I	+O	+U	-D	Sortal	"""Butterfly"" is a natural kind representing a specific type of insect. It is rigid (+R) because being a butterfly is an essential property that remains constant across all possible worlds. Butterflies carry identity (+I) based on their biological and morphological characteristics, and they supply their own identity condition (+O) as being a butterfly provides the criteria for distinguishing one butterfly from another. Butterflies are intrinsic wholes (+U) with a well-defined structure and integrated biological functions, and they are independent (-D) as they do not intrinsically depend on other entities to exist."	
Red	http://example.org/guarino-messy#Red	-R	+I	-O	-U	-D	Quality	"""Red"" is a property that represents the color red. Being red is not essential to all instances across all possible worlds; something can be red in one world and not red in another (-R). The property itself does not carry its own identity condition (+I) and does not supply its own identity condition (-O) because it is a quality that can be instantiated by various entities without defining their essence. Red does not form an intrinsic whole or a unified entity (-U); it is a quality that can be part of various wholes. Red is independent (-D) because it can exist as a quality without depending on a specific entity."	
Food	http://example.org/guarino-messy#Food	-R	+I	-O	+U	-D	Subkind	"""Food"" is a broad category that encompasses a wide range of items that can be consumed for nutritional purposes. It is non-rigid (-R) because something can be food in one context but not in another (e.g., a rock can be food for a certain animal but not for humans). It carries identity (+I) as there are clear criteria for what constitutes food (e.g., nutritional value, edibility). However, it does not supply its own identity condition (-O) because the identity of food is derived from the specific type of food (e.g., apple, bread, etc.). Food items can be intrinsic wholes or aggregates of parts (+U), depending on the specific instance. Food is generally independent (-D) as it can exist on its own without depending on other entities for its existence."	
Animal	http://example.org/guarino-messy#Animal	+R	+I	+O	+U	-D	Sortal	"""Animal"" is a natural kind that represents a broad class of biological organisms. It is rigid (+R) because being an animal is an essential property that does not change across possible worlds. Animals have a clear identity condition based on biological and genetic criteria (+I) and supply their own identity condition (+O). Animals are intrinsic wholes with integrated parts forming a coherent organism (+U). They are independent entities (-D) as they can exist on their own without being dependent on other entities for their existence."	
RedApple	http://example.org/guarino-messy#RedApple	-R	+I	-O	+U	-D	Subkind	"""RedApple"" is a property that combines a color attribute (""Red"") with a natural kind (""Apple""). An apple can exist without being red (it could be green, yellow, etc.), so being a red apple is not essential to all instances across all possible worlds - an apple can lose or gain the property of being red (e.g., ripening from green to red). This makes it non-rigid (-R). The property carries identity inherited from ""Apple"" as a natural kind (+I), but does not supply its own identity condition - the identity comes from being an apple, not from being red (-O). Instances of red apples are intrinsic wholes with clear physical boundaries (+U). Red apples do not intrinsically depend on other entities to exist beyond normal material constitution (-D)."	
Group	http://example.org/guarino-messy#Group	-R	-I	-O	-U	+D	Mixin	"""Group"" refers to a collection or set of entities that are related in some way. It is non-rigid (-R) because the property of being a group is not essential to the entities that form it; the same entities can be part of different groups under different conditions. The identity of a group is not inherent in the group itself but is derived from the identity of its members (-I). It does not supply its own identity condition (-O) because the group's identity is determined by its members. Groups can be aggregates of entities, so they lack intrinsic unity (-U). Groups are often dependent on their members to exist, as a group without members is not a group (+D)."	
Country	http://example.org/guarino-messy#Country	+R	+I	+O	+U	-D	Sortal	"""Country"" is a geopolitical entity that represents a sovereign state or nation. It is a sortal because it is rigid (+R) and carries its own identity condition (+I) based on territorial boundaries, sovereignty, and governmental structure. It supplies its own identity condition (+O), forming a clear and distinct entity. Countries are unifying (+U) as they are intrinsic wholes with defined borders and a unified governance structure. Countries are independent (-D) as they do not intrinsically depend on other entities to exist, being self-standing sovereign entities."	
AmountOfMatter	http://example.org/guarino-messy#AmountOfMatter	-R	+I	-O	-U	-D	Quantity	"""AmountOfMatter"" refers to a quantity of a material substance. It is non-rigid (-R) because the amount of matter can vary (e.g., a certain amount of water can be increased or decreased). It carries identity (+I) as it has a specific measure or quantity that distinguishes it from other amounts. However, it does not supply its own identity condition (+O) because the identity of the amount of matter is derived from the material it quantifies. It is non-unifying (-U) because an amount of matter can be a collection of discrete units or a continuous quantity, but it does not form an intrinsic whole in the same way a biological organism does. It is independent (-D) because an amount of matter can exist on its own without intrinsic dependence on other entities."	
PhysicalObject	http://example.org/guarino-messy#PhysicalObject	+R	+I	+O	+U	-D	Sortal	"""PhysicalObject"" is a broad category that includes any entity that has physical existence and occupies space. It is rigid (+R) because being a physical object is an essential property of all its instances in all possible worlds - something cannot be a physical object in one world and not in another. It carries identity (+I) as physical objects have distinct identity conditions based on their physical properties and spatial location. It supplies its own identity condition (+O) as being a physical object provides a clear criterion for distinguishing one physical object from another. Physical objects are intrinsic wholes with clear physical boundaries (+U). They are independent (-D) as physical objects do not intrinsically depend on other entities to exist - they can exist on their own."	
GroupOfPeople	http://example.org/guarino-messy#GroupOfPeople	-R	-I	-O	~U	+D	Mixin	"""GroupOfPeople"" is a collection of individuals who are brought together for some purpose or in some context. It is non-rigid (-R) because a group can change its composition over time or in different possible worlds while still being the same group. It does not carry its own identity (+I) or supply its own identity condition (+O) because the identity of the group is derived from the individuals composing it. A group of people is typically a sum or aggregate of individuals rather than an intrinsic whole (-U). It is dependent (+D) because the existence of the group is intrinsically tied to the existence of the individuals that compose it."	
LivingBeing	http://example.org/guarino-messy#LivingBeing	+R	+I	+O	+U	-D	Sortal	"""LivingBeing"" refers to any organism that displays the attributes of life, such as growth, reproduction, and responsiveness to stimuli. It is essential to all its instances across all possible worlds that they are living beings (+R) - something that is a living being cannot cease to be one and remain the same entity. It carries and supplies its own identity condition based on biological and physiological criteria (+I, +O). Living beings are intrinsic wholes with integrated biological systems (+U). They are independent entities that do not intrinsically depend on other entities to exist (-D)."	
SocialEntity	http://example.org/guarino-messy#SocialEntity	-R	+I	-O	-U	+D	Role	"""SocialEntity"" refers to entities that are defined and exist within the context of social structures and interactions. These entities depend on social agreements, norms, and institutions. They are not rigid (+R) because their essential properties can vary across different social contexts. They carry identity (+I) based on their social roles and functions, but they do not supply their own identity condition; instead, their identity is derived from the social context (-O). Social entities are typically non-unifying (-U) as they can consist of various parts or elements that may not form a single, intrinsic whole. They are dependent (+D) on the social context and other entities for their existence."	
Location	http://example.org/guarino-messy#Location	-R	-I	-O	-U	+D	Role	"""Location"" is a property that describes a spatial or geographical position. It is non-rigid (-R) because the property of having a specific location is not essential to an entity's identity; an entity can exist in different locations or be relocated. It does not carry an identity condition of its own (-I) because the identity of an entity is not primarily determined by its location. It does not supply its own identity condition (-O) as it relies on other properties or entities for identity. A location is typically a spatial region, which can be a whole or a part of a larger region, but it is not inherently a unified whole (-U). It is dependent (+D) because a location is always relative to a reference frame or another entity."	
Fruit	http://example.org/guarino-messy#Fruit	+R	+I	+O	+U	-D	Sortal	"""Fruit"" is a natural kind that represents a category of edible plant products. It is rigid (+R) because something that is a fruit is essentially a fruit in all possible worlds where it exists. Being a fruit carries its own identity condition based on botanical and culinary criteria (+I) and supplies its own identity condition (+O) as being a fruit is sufficient to distinguish one fruit from another. Fruits are intrinsic wholes with clear physical boundaries (+U). Fruits are independent (-D) as they can exist without depending on other entities for their existence."	
Vertebrate	http://example.org/guarino-messy#Vertebrate	+R	+I	+O	+U	-D	Sortal	"""Vertebrate"" is a biological classification that represents a group of animals with a backbone. It is essential to all instances of vertebrates in all possible worlds, as something that is a vertebrate cannot cease to be a vertebrate and remain the same entity (+R). Vertebrates carry an identity condition based on their biological and anatomical characteristics (+I) and supply their own identity condition (+O). Vertebrates are intrinsic wholes with integrated parts that form a complete organism (+U). Vertebrates are independent entities that do not intrinsically depend on other entities to exist (-D)."	
Caterpillar	http://example.org/guarino-messy#Caterpillar	+R	+I	+O	+U	-D	Sortal	"""Caterpillar"" is a life stage of certain insects, specifically lepidopterans (butterflies and moths). Analyzing its meta-properties: Being a caterpillar is essential to all instances of caterpillars in all possible worlds, as they cannot exist as caterpillars and not be caterpillars (+R). Caterpillars carry identity (+I) based on their biological characteristics and developmental stage. They supply their own identity condition (+O) as being a caterpillar is a distinct and identifiable stage. Caterpillars are intrinsic wholes with a well-defined body structure (+U). Caterpillars do not intrinsically depend on other entities to exist; they are independent organisms (-D)."	
Person	http://example.org/guarino-messy#Person	+R	+I	+O	+U	-D	Sortal	"""Person"" is a fundamental category representing a human being. It is rigid (+R) because a person is essentially a person in all possible worlds - a person cannot become something else while remaining the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on personal characteristics such as genetics, history, and legal personhood. A person is a unifying whole (+U) with a coherent and integrated physical and mental structure. A person is independent (-D) and can exist without intrinsic dependence on other entities."	
LegalAgent	http://example.org/guarino-messy#LegalAgent	~R	-I	-O	-U	+D	Role	"""LegalAgent"" is a role that can be instantiated by various entities, such as individuals or corporate entities, that have the capacity to act within a legal framework. Being a legal agent is not essential to the entity's core identity in all possible worlds; an entity can exist without being a legal agent (anti-rigid, ~R). It does not carry its own identity condition but rather inherits the identity from the entity that instantiates it (-I). It does not supply its own identity condition, as the identity is derived from the underlying entity (-O). Legal agents are not intrinsic wholes; they are roles that can be played by various entities (-U). Legal agents are dependent on the entities that instantiate them to exist (+D)."	
Entity	http://example.org/guarino-messy#Entity	+R	+I	+O	+U	-D	Sortal	"""Entity"" is a very broad and fundamental concept that refers to anything that can be considered a distinct existence. It is rigid (+R) because something that is an entity is always an entity in all possible worlds; it cannot cease to be an entity and remain the same thing. It carries identity (+I) because being an entity is a fundamental property that provides a basis for identity. It supplies its own identity condition (+O) because the concept of being an entity is the most basic form of individuality. Entities can be intrinsic wholes (+U) or not, depending on the specific type of entity, but the concept of an entity itself does not preclude unity. Entities are independent (-D) as they can exist without depending on other entities for their existence."	
Organization	http://example.org/guarino-messy#Organization	-R	+I	-O	+U	+D	Role	"""Organization"" is a structured group of people with a common purpose or function. It is non-rigid (-R) because an organization can change its structure or purpose and still remain the same organization. It carries identity (+I) based on its membership, purpose, and structure, but it does not supply its own identity condition (+O) as its identity is often derived from the roles and functions of its members. Organizations are typically unifying (+U) as they are structured with a clear hierarchy and purpose. However, they are dependent (+D) on their members and the interactions within the organization to exist."	
Agent	http://example.org/guarino-messy#Agent	-R	+I	+O	+U	-D	Role	"""Agent"" refers to an entity capable of performing actions and making decisions. It is non-rigid (-R) because something can be an agent in one world and not in another (e.g., a person can lose the capacity to act due to injury or other factors). Agents carry identity (+I) based on their capability to act and make decisions, but they do not supply their own identity condition (+O) as being an agent is a role or capacity rather than a defining essence. Agents are typically intrinsic wholes (+U) as they are integrated entities capable of action. Agents are independent (-D) as they can exist and function without intrinsically depending on other entities."	
Apple	http://example.org/guarino-messy#Apple	+R	+I	+O	+U	-D	Sortal	"""Apple"" is a natural kind representing a specific type of fruit. It is rigid (+R) because being an apple is essential to all instances in all possible worlds - an apple cannot become something else and remain the same entity. It carries identity (+I) and supplies its own identity condition (+O) based on its biological and physical characteristics. Apples are intrinsic wholes with a unified structure (+U). They are independent (-D) as they can exist without depending on other entities."	
